2024-11-11T18:30:24.575+09:00- 서버 상태: UP
2024-11-11T18:30:25.088+09:00 - 서버 상태: UP
2024-11-11T18:30:26.273+09:00 - 서버 상태: UP
2024-11-11T18:30:47.396+09:00 - 서버 상태: UP
2024-11-11T18:30:51.332+09:00 - 서버 상태: UP
2024-11-11T18:31:18.155+09:00 - 서버 상태: UP
2024-11-11T18:31:45.682+09:00 - 서버 상태: UP
2024-11-11T18:31:49.716+09:00 - 서버 상태: UP
2024-11-11T18:31:58.758+09:00 - 서버 상태: DOWN
2024-11-11T18:32:15.380+09:00 - 서버 상태: DOWN
2024-11-11T18:32:22.915+09:00 - 서버 상태: DOWN
2024-11-11T18:33:11.933+09:00 - 서버 상태: DOWN
2024-11-11T18:39:09.830+09:00 - 서버 상태: DOWN
2024-11-11T18:40:07.406+09:00 - 서버 상태: DOWN
2024-11-11T18:40:13.917+09:00 - 서버 상태: DOWN
2024-11-11T18:40:31.677+09:00 - 서버 상태: DOWN
2024-11-11T18:40:36.821+09:00 - 서버 상태: DOWN
2024-11-11T18:41:11.623+09:00 - 서버 상태: DOWN
2024-11-11T18:41:22.048+09:00 - 서버 상태: DOWN
2024-11-11T18:41:23.278+09:00 - 서버 상태: DOWN
2024-11-11T18:42:01.196+09:00 - 서버 상태: DOWN
2024-11-13T13:53:35.970+09:00 - 서버 상태: UP
2024-11-13T13:55:39.383+09:00 - 서버 상태: DOWN
2024-11-13T13:56:27.540+09:00 - 서버 상태: UP
2024-11-13T13:57:21.754+09:00 - 서버 상태: DOWN
2024-11-13T13:57:24.786+09:00 - 서버 상태: UP
2024-11-13T13:58:24.977+09:00 - 서버 상태: DOWN
2024-11-13T13:58:31.013+09:00 - 서버 상태: UP
2024-11-13T13:58:37.044+09:00 - 서버 상태: DOWN
2024-11-13T13:58:40.082+09:00 - 서버 상태: UP
2024-11-13T13:59:10.214+09:00 - 서버 상태: DOWN
2024-11-13T13:59:13.238+09:00 - 서버 상태: UP
2024-11-13T13:59:22.269+09:00 - 서버 상태: DOWN
2024-11-13T13:59:28.319+09:00 - 서버 상태: UP
2024-11-13T13:59:31.334+09:00 - 서버 상태: DOWN
2024-11-13T13:59:34.372+09:00 - 서버 상태: UP
2024-11-13T13:59:37.383+09:00 - 서버 상태: DOWN
2024-11-13T13:59:40.410+09:00 - 서버 상태: UP
2024-11-13T14:00:10.517+09:00 - 서버 상태: DOWN
2024-11-13T14:00:41.505+09:00 - 서버 상태: UP
2024-11-13T14:00:50.540+09:00 - 서버 상태: DOWN
2024-11-13T14:00:53.585+09:00 - 서버 상태: UP
2024-11-13T14:01:08.637+09:00 - 서버 상태: DOWN
2024-11-13T14:01:36.196+09:00 - 서버 상태: UP
2024-11-13T14:01:45.228+09:00 - 서버 상태: DOWN
2024-11-13T14:01:57.763+09:00 - 서버 상태: UP
2024-11-13T14:03:16.083+09:00 - 서버 상태: DOWN
2024-11-13T14:03:28.158+09:00 - 서버 상태: UP
2024-11-13T14:03:31.166+09:00 - 서버 상태: DOWN
2024-11-13T14:03:34.198+09:00 - 서버 상태: UP
2024-11-13T14:03:52.265+09:00 - 서버 상태: DOWN
2024-11-13T14:03:55.295+09:00 - 서버 상태: UP
2024-11-13T14:07:53.218+09:00 - 서버 상태: DOWN
2024-11-13T14:07:56.243+09:00 - 서버 상태: UP
2024-11-13T14:17:19.475+09:00 - 서버 상태: DOWN
2024-11-13T14:17:22.504+09:00 - 서버 상태: UP
2024-11-13T14:18:25.738+09:00 - 서버 상태: DOWN
2024-11-13T14:18:28.767+09:00 - 서버 상태: UP
2024-11-13T14:20:56.357+09:00 - 서버 상태: DOWN
2024-11-13T14:21:05.410+09:00 - 서버 상태: UP
2024-11-13T14:21:17.443+09:00 - 서버 상태: DOWN
2024-11-13T14:21:20.480+09:00 - 서버 상태: UP
2024-11-13T14:22:32.751+09:00 - 서버 상태: DOWN
2024-11-13T14:22:44.816+09:00 - 서버 상태: UP
2024-11-13T14:23:32.981+09:00 - 서버 상태: DOWN
2024-11-13T14:23:36.011+09:00 - 서버 상태: UP
2024-11-13T14:24:00.104+09:00 - 서버 상태: DOWN
2024-11-13T14:24:06.153+09:00 - 서버 상태: UP
2024-11-13T14:25:48.555+09:00 - 서버 상태: DOWN
2024-11-13T14:25:51.579+09:00 - 서버 상태: UP
2024-11-13T14:34:05.213+09:00 - 서버 상태: DOWN
